308	322861
308	322862
308	322863
308	322864
309	322865
310	322866
311	322867
312	322868
313	322869
314	322870
315	322871
315	322871
314	322872
314	322873
314	322874
313	322875
312	322876
312	322877
311	322878
312	322879
312	322880
313	322881
314	322882
315	322883
316	322884
318	322885
319	322886
319	322887
319	322888
319	322889
319	322890
318	322891
317	322892
317	322893
316	322894
316	322895
317	322896
318	322897
318	322898
320	322899
321	322900
322	322902
323	322903
324	322904
325	322905
325	322906
324	322907
324	322908
323	322909
323	322910
323	322911
323	322912
322	322913
323	322914
324	322915
325	322916
327	322917
328	322918
329	322919
330	322920
331	322921
332	322922
332	322923
331	322923
331	322924
331	322925
330	322926
330	322927
330	322928
330	322929
331	322930
332	322931
333	322932
335	322933
337	322934
337	322935
338	322936
339	322937
339	322938
339	322939
339	322940
338	322941
338	322942
337	322944
337	322945
337	322946
338	322947
339	322948
340	322949
341	322950
342	322951
343	322952
344	322953
345	322954
345	322955
345	322956
345	322957
345	322958
344	322959
343	322960
343	322961
343	322962
343	322963
343	322964
344	322965
345	322966
346	322967
346	322968
347	322969
348	322970
348	322971
348	322972
347	322973
347	322974
346	322974
345	322975
344	322976
343	322977
342	322978
342	322979
342	322980
342	322981
343	322982
343	322983
344	322984
344	322985
343	322987
343	322988
342	322989
341	322990
340	322991
339	322992
337	322993
335	322994
334	322995
333	322996
333	322997
332	322998
332	322999
333	323000
333	323001
333	323002
332	323003
332	323004
331	323005
330	323006
328	323007
327	323008
325	323009
323	323010
321	323011
320	323012
319	323013
318	323014
318	323015
318	323016
318	323017
318	323018
318	323019
318	323020
316	323021
316	323022
314	323023
313	323024
311	323025
309	323025
307	323026
305	323027
304	323028
304	323030
303	323031
303	323032
303	323033
303	323034
304	323035
303	323036
303	323037
302	323038
301	323039
300	323040
299	323041
297	323042
296	323043
294	323044
293	323045
292	323046
292	323047
292	323048
292	323049
292	323050
292	323051
293	323052
293	323053
293	323054
292	323055
291	323056
290	323057
289	323058
288	323059
286	323060
285	323061
284	323062
284	323063
284	323064
284	323065
285	323066
286	323067
286	323068
286	323069
287	323070
287	323072
286	323073
285	323074
285	323075
283	323076
282	323077
281	323078
281	323078
280	323079
280	323080
281	323081
281	323082
282	323083
283	323084
283	323085
284	323086
284	323087
284	323088
283	323089
283	323090
282	323091
281	323092
280	323093
279	323094
279	323095
279	323096
279	323097
280	323098
280	323099
281	323100
282	323101
283	323102
284	323103
284	323104
284	323105
283	323106
282	323107
282	323108
281	323109
280	323110
279	323111
279	323112
279	323113
280	323115
281	323116
281	323117
282	323118
283	323119
284	323120
285	323121
285	323122
285	323123
284	323124
283	323125
283	323126
282	323127
281	323128
281	323129
281	323129
281	323130
281	323131
283	323132
283	323133
284	323134
286	323135
286	323136
287	323137
287	323138
287	323139
286	323140
285	323141
285	323142
284	323143
283	323144
283	323145
283	323146
283	323147
284	323148
285	323149
286	323150
287	323151
288	323152
289	323153
289	323154
289	323155
289	323156
288	323158
287	323159
287	323160
286	323161
285	323162
286	323163
285	323164
286	323165
287	323166
288	323167
289	323168
290	323169
291	323170
291	323171
292	323172
291	323173
291	323174
290	323175
290	323176
289	323177
288	323178
288	323179
288	323180
288	323180
289	323181
290	323182
291	323183
292	323184
293	323185
293	323186
294	323187
294	323188
294	323189
293	323190
292	323191
291	323192
290	323193
290	323194
290	323195
290	323196
290	323197
291	323198
292	323200
293	323201
294	323202
295	323203
295	323204
296	323205
296	323206
295	323207
295	323208
294	323209
293	323210
292	323211
292	323212
291	323213
292	323214
292	323215
293	323216
294	323217
295	323218
296	323219
297	323220
298	323221
297	323222
297	323223
297	323224
296	323225
295	323226
295	323227
294	323228
294	323229
293	323230
294	323231
294	323232
295	323232
296	323233
298	323234
298	323235
299	323236
299	323237
299	323238
299	323239
298	323240
297	323241
297	323243
296	323244
295	323245
295	323246
295	323247
296	323248
296	323249
297	323250
298	323251
299	323252
300	323253
301	323254
301	323255
301	323256
300	323257
299	323258
298	323259
298	323260
297	323261
296	323262
296	323263
296	323264
297	323265
298	323266
299	323267
300	323268
300	323269
302	323270
302	323271
302	323272
302	323273
301	323274
300	323275
299	323276
299	323277
298	323278
297	323279
297	323280
298	323281
299	323282
299	323283
301	323283
302	323284
302	323286
303	323287
303	323288
303	323289
302	323290
302	323291
301	323292
300	323293
299	323294
299	323295
298	323296
299	323297
299	323298
300	323299
301	323300
302	323301
303	323302
304	323303
304	323304
304	323305
304	323306
303	323307
303	323308
302	323309
301	323310
300	323311
300	323312
300	323313
300	323314
300	323315
301	323316
302	323317
303	323318
304	323319
305	323320
306	323321
305	323322
305	323323
304	323324
304	323325
303	323326
302	323328
301	323329
301	323330
301	323331
301	323332
302	323333
303	323334
304	323335
306	323336
306	323336
306	323337
306	323338
306	323339
305	323340
305	323341
304	323342
303	323343
302	323344
302	323345
302	323346
302	323347
302	323348
303	323349
304	323350
305	323351
306	323352
307	323353
307	323354
307	323355
307	323356
306	323357
305	323358
305	323359
304	323360
303	323361
302	323362
303	323363
303	323364
304	323365
305	323366
305	323367
306	323368
307	323369
308	323371
308	323372
308	323373
308	323374
307	323375
306	323376
305	323377
304	323378
304	323379
304	323380
304	323381
304	323382
304	323383
306	323384
307	323385
307	323386
308	323387
309	323387
309	323388
309	323389
308	323390
307	323391
306	323392
306	323393
305	323394
304	323395
304	323396
304	323397
305	323398
306	323399
307	323400
308	323401
309	323402
309	323403
310	323404
310	323405
309	323406
309	323407
308	323408
307	323409
306	323410
305	323411
305	323412
305	323414
305	323415
306	323416
307	323417
308	323418
309	323419
310	323420
310	323421
311	323422
310	323423
310	323424
309	323425
308	323426
307	323427
307	323428
306	323429
305	323430
306	323431
306	323432
307	323433
308	323434
309	323435
311	323436
311	323437
311	323438
311	323438
310	323439
310	323440
309	323441
308	323442
307	323443
307	323444
306	323445
306	323446
306	323447
307	323448
308	323449
309	323450
310	323451
310	323452
311	323453
312	323454
311	323456
311	323457
310	323458
309	323459
308	323460
308	323461
307	323462
306	323463
306	323464
307	323465
308	323466
308	323467
310	323468
310	323469
311	323470
312	323471
312	323472
312	323473
311	323474
310	323475
310	323476
309	323477
308	323478
307	323479
307	323480
307	323481
307	323482
308	323483
309	323484
310	323485
311	323486
312	323487
312	323488
312	323489
312	323490
311	323490
310	323491
310	323492
308	323493
308	323494
307	323495
307	323496
307	323497
308	323499
309	323500
310	323501
311	323502
312	323503
312	323504
313	323505
313	323506
312	323507
311	323508
311	323509
310	323510
309	323511
308	323512
307	323513
308	323514
308	323515
309	323516
310	323517
310	323518
312	323519
312	323520
313	323521
313	323522
313	323523
312	323524
311	323525
310	323526
309	323527
308	323528
308	323529
308	323530
308	323531
309	323532
310	323533
310	323534
312	323535
313	323536
313	323537
313	323538
313	323539
312	323540
312	323542
311	323543
310	323543
309	323544
308	323545
308	323546
308	323547
308	323548
309	323549
310	323550
311	323551
312	323552
313	323553
313	323554
313	323555
313	323556
312	323557
312	323558
311	323559
310	323560
309	323561
308	323562
308	323563
308	323564
309	323565
310	323566
310	323567
312	323568
312	323569
313	323570
313	323571
313	323572
313	323573
312	323574
312	323575
311	323576
310	323577
309	323578
308	323579
308	323580
309	323581
309	323582
310	323584
311	323585
312	323586
313	323587
313	323588
314	323589
313	323590
313	323591
313	323592
312	323593
311	323594
310	323594
309	323595
309	323596
309	323597
310	323598
310	323599
312	323600
313	323601
314	323602
315	323603
315	323604
316	323605
315	323606
315	323607
314	323608
314	323609
313	323610
312	323611
312	323612
312	323613
312	323614
313	323615
313	323616
314	323617
315	323618
317	323619
317	323620
318	323621
317	323622
317	323623
317	323624
316	323625
316	323627
315	323628
315	323629
314	323630
315	323631
315	323632
316	323633
318	323634
319	323635
321	323636
322	323637
322	323638
322	323639
322	323640
321	323641
321	323642
320	323643
319	323644
319	323645
318	323646
318	323646
318	323647
318	323648
319	323649
320	323650
321	323651
322	323652
323	323653
323	323654
324	323655
323	323656
323	323657
322	323658
321	323659
320	323660
319	323661
319	323662
319	323663
319	323664
319	323665
320	323666
321	323667
322	323668
323	323670
323	323671
323	323672
323	323673
322	323674
321	323675
320	323676
319	323677
318	323678
317	323679
316	323680
316	323681
316	323682
316	323683
317	323684
318	323685
318	323686
318	323687
319	323688
318	323689
318	323690
317	323691
316	323692
314	323693
313	323694
312	323695
311	323696
310	323697
311	323697
311	323698
311	323699
312	323700
312	323701
313	323702
313	323703
314	323704
313	323705
313	323706
312	323707
311	323708
310	323709
309	323710
308	323712
307	323713
307	323714
307	323715
307	323716
308	323717
309	323718
309	323719
310	323720
310	323721
310	323722
310	323723
309	323724
308	323725
308	323726
306	323727
306	323728
305	323729
304	323730
304	323731
304	323732
305	323733
305	323734
306	323735
308	323736
308	323737
308	323738
308	323739
308	323740
307	323741
306	323742
305	323743
304	323744
303	323745
303	323746
302	323747
302	323748
303	323749
303	323749
303	323750
304	323751
304	323752
305	323753
304	323755
304	323756
303	323757
302	323758
300	323759
298	323760
297	323761
296	323762
295	323763
294	323764
294	323765
295	323766
295	323767
296	323768
297	323769
298	323770
299	323771
300	323772
301	323773
301	323774
302	323775
302	323776
303	323777
304	323778
305	323779
307	323780
310	323781
313	323782
317	323783
321	323784
325	323785
329	323786
334	323787
338	323788
341	323789
344	323790
347	323791
350	323792
353	323793
356	323794
358	323795
361	323796
363	323798
366	323799
369	323800
372	323801
374	323801
376	323802
377	323803
378	323804
379	323805
378	323806
377	323807
375	323808
374	323809
372	323810
370	323811
368	323812
366	323813
365	323814
364	323815
364	323816
363	323817
362	323818
361	323819
360	323820
359	323821
357	323822
355	323823
353	323824
350	323825
348	323826
345	323827
343	323828
340	323829
338	323830
337	323831
336	323832
336	323833
335	323834
334	323835
336	323836
334	323837
333	323838
332	323840
331	323841
329	323842
327	323843
326	323844
324	323845
322	323846
321	323847
321	323848
